Country Name,Country Code,Year,Import_Dependency_Pct
East Asia & Pacific,EAS,1991,18.8
East Asia & Pacific (IDA & IBRD countries),TEA,1991,-9.9
East Asia & Pacific (excluding high income),EAP,1991,-9.3
Ecuador,ECU,1991,-156.9
"Egypt, Arab Rep.",EGY,1991,-61.8
El Salvador,SLV,1991,37.6
Estonia,EST,1991,40.1
Ethiopia,ETH,1991,5.7
Euro area,EMU,1991,60.1
Europe & Central Asia,ECS,1991,15.6
Europe & Central Asia (IDA & IBRD countries),TEC,1991,-8.9
Europe & Central Asia (excluding high income),ECA,1991,30.1
European Union,EUU,1991,52.2
Finland,FIN,1991,58.4
Fragile and conflict affected situations,FCS,1991,-13.6
France,FRA,1991,53.3
Gabon,GAB,1991,-1149.0
Georgia,GEO,1991,87.5
Germany,DEU,1991,52.6
Ghana,GHA,1991,16.3
Greece,GRC,1991,71.9
Guatemala,GTM,1991,29.9
Heavily indebted poor countries (HIPC),HPC,1991,-9.3
High income,HIC,1991,8.6
Honduras,HND,1991,32.0
"Hong Kong SAR, China",HKG,1991,121.4
Hungary,HUN,1991,46.1
IBRD only,IBD,1991,-17.8
IDA & IBRD total,IBT,1991,-18.4
IDA blend,IDB,1991,-48.2
IDA only,IDX,1991,-2.4
IDA total,IDA,1991,-26.4
India,IND,1991,12.0
Indonesia,IDN,1991,-88.6
"Iran, Islamic Rep.",IRN,1991,-159.5
Iraq,IRQ,1991,-20.2
Ireland,IRL,1991,69.5
Israel,ISR,1991,100.2
Italy,ITA,1991,84.3
Jamaica,JAM,1991,94.9
Japan,JPN,1991,84.6
Jordan,JOR,1991,93.1
Kazakhstan,KAZ,1991,-21.5
Kenya,KEN,1991,19.5
"Korea, Dem. People's Rep.",PRK,1991,11.4
"Korea, Rep.",KOR,1991,81.3
Kuwait,KWT,1991,-291.3
Kyrgyz Republic,KGZ,1991,65.2
Late-demographic dividend,LTE,1991,-18.7
Latin America & Caribbean,LCN,1991,-13.7
Latin America & Caribbean (excluding high income),LAC,1991,-17.3
Latin America & the Caribbean (IDA & IBRD countries),TLA,1991,-14.5
Latvia,LVA,1991,88.0
Least developed countries: UN classification,LDC,1991,-22.9
Libya,LBY,1991,-617.4
Lithuania,LTU,1991,72.0
Low & middle income,LMY,1991,-14.4
Low income,LIC,1991,-20.9
Lower middle income,LMC,1991,-8.2
Luxembourg,LUX,1991,102.3
Madagascar,MDG,1991,13.4
Malaysia,MYS,1991,-94.7
Mexico,MEX,1991,-55.7
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1991,-233.9
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1991,-126.9
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1991,-126.9
Middle income,MIC,1991,-14.2
Moldova,MDA,1991,99.4
Mongolia,MNG,1991,14.4
Morocco,MAR,1991,81.3
Mozambique,MOZ,1991,5.9
Myanmar,MMR,1991,0.8
Namibia,NAM,1991,59.9
Nepal,NPL,1991,6.3
Netherlands,NLD,1991,22.2
New Zealand,NZL,1991,14.3
Nicaragua,NIC,1991,29.8
Nigeria,NGA,1991,-276.6
North America,NAC,1991,11.5
