year,population,Region
2011,47987.75,Capital Region
2012,48139.0,Capital Region
2013,48357.0,Capital Region
2014,48477.0,Capital Region
2015,48297.0,Capital Region
2016,48245.5,Capital Region
2017,48219.75,Capital Region
2018,48347.75,Capital Region
2019,48448.75,Capital Region
2020,48821.5,Capital Region
2021,49196.25,Capital Region
2022,49543.25,Capital Region
2023,50366.5,Capital Region
2024,51869.0,Capital Region
2008,26228.25,Southern Denmark
2009,26262.25,Southern Denmark
2010,26178.25,Southern Denmark
2011,26219.0,Southern Denmark
2012,26309.0,Southern Denmark
2013,26351.25,Southern Denmark
2014,26334.75,Southern Denmark
2015,26334.75,Southern Denmark
2016,26508.0,Southern Denmark
2017,26500.25,Southern Denmark
2018,26553.0,Southern Denmark
2019,26660.5,Southern Denmark
2020,26570.75,Southern Denmark
2021,26549.0,Southern Denmark
2022,26826.5,Southern Denmark
2023,27063.5,Southern Denmark
2024,27145.75,Southern Denmark
2008,42727.0,Capital Region
2009,42434.0,Capital Region
2010,42037.75,Capital Region
2011,41587.75,Capital Region
2012,41095.75,Capital Region
2013,40559.0,Capital Region
2014,40081.5,Capital Region
2015,39792.0,Capital Region
2016,39710.75,Capital Region
2017,39678.25,Capital Region
2018,39632.0,Capital Region
2019,39614.5,Capital Region
2020,39488.5,Capital Region
2021,39643.25,Capital Region
2022,39671.25,Capital Region
2023,39552.0,Capital Region
2024,39236.75,Capital Region
2008,33752.0,Capital Region
2009,33808.0,Capital Region
2010,33855.75,Capital Region
2011,34019.75,Capital Region
2012,34126.25,Capital Region
2013,34286.0,Capital Region
2014,34824.25,Capital Region
2015,35164.75,Capital Region
2016,35413.5,Capital Region
2017,35540.25,Capital Region
2018,35533.0,Capital Region
2019,35224.25,Capital Region
2020,35128.75,Capital Region
2021,35394.25,Capital Region
2022,36068.0,Capital Region
2023,37799.5,Capital Region
2024,39576.0,Capital Region
2008,35595.25,North Jutland
2009,35767.0,North Jutland
2010,35800.25,North Jutland
2011,35780.0,North Jutland
2012,35707.5,North Jutland
2013,35624.25,North Jutland
2014,35659.5,North Jutland
2015,35889.5,North Jutland
2016,36089.0,North Jutland
2017,36158.0,North Jutland
2018,36336.75,North Jutland
2019,36387.0,North Jutland
2020,36282.0,North Jutland
2021,36168.25,North Jutland
2022,36392.75,North Jutland
2023,36575.5,North Jutland
2024,36601.75,North Jutland
2008,97.5,
2009,97.5,
2010,97.75,
2011,102.25,
2012,102.0,
2013,95.25,
2014,93.0,
2015,91.0,
2016,89.5,
2017,81.0,
2018,87.75,
2019,86.75,
2020,86.5,
2021,90.25,
2022,94.5,
2023,94.0,
2024,92.0,
2008,13344.5,Capital Region
2009,13459.25,Capital Region
2010,13631.5,Capital Region
2011,13730.75,Capital Region
2012,13767.25,Capital Region
2013,13898.25,Capital Region
2014,13962.0,Capital Region
2015,14038.5,Capital Region
2016,14179.75,Capital Region
2017,14268.25,Capital Region
2018,14243.5,Capital Region
2019,14365.0,Capital Region
2020,14503.5,Capital Region
2021,14587.0,Capital Region
2022,14631.25,Capital Region
2023,14552.0,Capital Region
2024,14495.5,Capital Region
2008,40787.25,Capital Region
2009,41166.75,Capital Region
2010,41565.25,Capital Region
2011,41717.0,Capital Region
2012,41890.5,Capital Region
2013,42106.75,Capital Region
2014,42373.5,Capital Region
2015,42648.75,Capital Region
2016,42841.25,Capital Region
2017,43041.5,Capital Region
2018,43114.75,Capital Region
2019,43375.75,Capital Region
2020,43406.25,Capital Region
2021,43926.75,Capital Region
2022,44707.75,Capital Region
2023,45352.0,Capital Region
2024,45537.25,Capital Region
2008,114393.75,Southern Denmark
2009,114733.5,Southern Denmark
2010,115137.5,Southern Denmark
2011,115182.75,Southern Denmark
2012,115113.25,Southern Denmark
2013,115017.25,Southern Denmark
2014,115249.0,Southern Denmark
2015,115536.75,Southern Denmark
2016,115901.5,Southern Denmark
2017,115935.25,Southern Denmark
2018,116014.75,Southern Denmark
2019,115637.5,Southern Denmark
2020,115572.0,Southern Denmark
2021,115538.75,Southern Denmark
2022,115654.75,Southern Denmark
2023,115700.25,Southern Denmark
2024,115302.0,Southern Denmark
2008,52054.5,Southern Denmark
2009,52090.5,Southern Denmark
2010,51985.75,Southern Denmark
2011,51761.5,Southern Denmark
2012,51546.5,Southern Denmark
2013,51267.25,Southern Denmark
2014,51034.5,Southern Denmark
2015,51072.0,Southern Denmark
2016,51284.0,Southern Denmark
2017,51421.5,Southern Denmark
2018,51636.25,Southern Denmark
2019,51734.5,Southern Denmark
2020,51552.0,Southern Denmark
2021,51724.25,Southern Denmark
2022,52004.25,Southern Denmark
2023,52234.75,Southern Denmark
2024,52290.25,Southern Denmark
2008,3212.75,Southern Denmark
2009,3221.75,Southern Denmark
2010,3225.0,Southern Denmark
2011,3222.75,Southern Denmark
2012,3239.75,Southern Denmark
2013,3245.0,Southern Denmark
2014,3263.25,Southern Denmark
2015,3273.75,Southern Denmark
2016,3322.25,Southern Denmark
2017,3366.0,Southern Denmark
2018,3415.0,Southern Denmark
2019,3445.5,Southern Denmark
2020,3475.0,Southern Denmark
2021,3448.0,Southern Denmark
2022,3429.25,Southern Denmark
2023,3402.75,Southern Denmark
2024,3333.5,Southern Denmark
2008,45838.5,Central Jutland
2009,46336.0,Central Jutland
2010,46658.75,Central Jutland
2011,46995.75,Central Jutland
2012,47158.75,Central Jutland
2013,47077.75,Central Jutland
2014,47244.5,Central Jutland
2015,47570.0,Central Jutland
2016,47755.25,Central Jutland
2017,48042.25,Central Jutland
2018,48300.75,Central Jutland
2019,48367.75,Central Jutland
2020,48374.75,Central Jutland
2021,48562.5,Central Jutland
2022,49079.75,Central Jutland
2023,49367.5,Central Jutland
2024,49328.5,Central Jutland
2008,35455.75,Zealand Region
2009,35424.5,Zealand Region
2010,35336.0,Zealand Region
2011,35240.5,Zealand Region
2012,35148.75,Zealand Region
2013,35095.25,Zealand Region
2014,35143.5,Zealand Region
2015,35372.0,Zealand Region
2016,35703.75,Zealand Region
2017,36026.25,Zealand Region
2018,36290.0,Zealand Region
2019,36545.5,Zealand Region
2020,36596.25,Zealand Region
2021,36889.25,Zealand Region
2022,37199.75,Zealand Region
2023,37513.75,Zealand Region
2024,37687.25,Zealand Region
2008,39223.75,Capital Region
2009,39255.5,Capital Region
2010,39218.75,Capital Region
2011,39443.5,Capital Region
2012,39541.0,Capital Region
2013,39472.75,Capital Region
2014,39661.75,Capital Region
2015,39914.25,Capital Region
2016,40228.75,Capital Region
2017,40598.5,Capital Region
2018,40784.5,Capital Region
2019,40840.25,Capital Region
2020,40920.5,Capital Region
2021,41071.0,Capital Region
2022,41476.25,Capital Region
2023,41758.75,Capital Region
2024,42038.5,Capital Region
2008,49503.25,Southern Denmark
2009,49779.5,Southern Denmark
2010,50015.0,Southern Denmark
2011,50153.75,Southern Denmark
2012,50250.75,Southern Denmark
2013,50368.5,Southern Denmark
2014,50370.25,Southern Denmark
2015,50541.75,Southern Denmark
2016,50776.0,Southern Denmark
2017,50992.5,Southern Denmark
2018,51388.5,Southern Denmark
2019,51426.5,Southern Denmark
2020,51363.0,Southern Denmark
2021,51425.5,Southern Denmark
2022,51839.25,Southern Denmark
2023,52338.5,Southern Denmark
2024,52488.25,Southern Denmark
2008,94054.5,Capital Region
2009,95685.75,Capital Region
2010,97598.0,Capital Region
2011,99358.25,Capital Region
2012,100904.25,Capital Region
2013,102261.25,Capital Region
2014,102865.5,Capital Region
2015,103800.5,Capital Region
2016,104597.75,Capital Region
2017,104953.0,Capital Region
2018,104403.0,Capital Region
2019,104224.5,Capital Region
2020,104267.0,Capital Region
2021,103420.75,Capital Region
2022,104110.75,Capital Region
2023,104872.75,Capital Region
2024,105421.25,Capital Region
2008,62679.75,North Jutland
2009,62350.5,North Jutland
2010,61851.25,North Jutland
2011,61495.25,North Jutland
2012,61017.0,North Jutland
2013,60671.0,North Jutland
2014,60465.25,North Jutland
2015,60337.5,North Jutland
2016,60366.5,North Jutland
2017,60286.5,North Jutland
2018,60124.0,North Jutland
2019,59903.5,North Jutland
2020,59423.75,North Jutland
2021,58969.5,North Jutland
2022,58936.25,North Jutland
2023,58719.75,North Jutland
2024,58267.75,North Jutland
2008,44192.0,Capital Region
2009,44251.25,Capital Region
2010,44282.0,Capital Region
2011,44339.0,Capital Region
2012,44384.25,Capital Region
2013,44370.75,Capital Region
2014,44452.25,Capital Region
2015,44608.0,Capital Region
2016,44857.75,Capital Region
2017,45118.0,Capital Region
2018,45252.5,Capital Region
2019,45334.5,Capital Region
2020,45366.0,Capital Region
2021,45676.75,Capital Region
2022,46045.25,Capital Region
2023,46236.5,Capital Region
2024,46720.0,Capital Region
2008,37747.5,Capital Region
2009,38073.0,Capital Region
2010,38243.75,Capital Region
2011,38289.5,Capital Region
2012,38191.5,Capital Region
2013,38254.0,Capital Region
2014,38654.5,Capital Region
2015,39476.5,Capital Region
2016,40392.75,Capital Region
2017,40647.25,Capital Region
2018,40935.0,Capital Region
2019,41120.25,Capital Region
2020,40976.0,Capital Region
2021,41124.0,Capital Region
2022,41671.5,Capital Region
2023,42242.5,Capital Region
2024,42507.25,Capital Region
2008,69186.0,Capital Region
2009,70232.75,Capital Region
2010,71397.0,Capital Region
2011,72050.0,Capital Region
2012,73041.0,Capital Region
2013,73673.0,Capital Region
2014,74615.0,Capital Region
2015,75135.5,Capital Region
2016,75553.25,Capital Region
2017,75845.25,Capital Region
2018,75472.75,Capital Region
2019,75112.0,Capital Region
2020,74754.5,Capital Region
2021,74360.5,Capital Region
2022,74410.75,Capital Region
2023,74957.5,Capital Region
2024,75043.25,Capital Region
2008,62816.5,Capital Region
2009,63434.75,Capital Region
2010,64454.25,Capital Region
2011,65075.75,Capital Region
2012,65587.75,Capital Region
2013,66231.5,Capital Region
2014,66884.0,Capital Region
2015,67496.0,Capital Region
2016,68191.75,Capital Region
2017,69110.5,Capital Region
2018,69453.25,Capital Region
2019,69551.5,Capital Region
2020,69180.75,Capital Region
2021,69117.25,Capital Region
2022,69482.5,Capital Region
2023,70240.75,Capital Region
2024,70807.25,Capital Region
2008,20788.0,Capital Region
2009,21129.75,Capital Region
2010,21372.0,Capital Region
2011,21480.25,Capital Region
2012,21727.0,Capital Region
2013,21973.5,Capital Region
2014,22197.75,Capital Region
