year,population,Region
2019,28900.25,Capital Region
2020,28932.5,Capital Region
2021,28866.0,Capital Region
2022,28891.25,Capital Region
2023,29349.5,Capital Region
2024,30117.0,Capital Region
2008,84597.25,Central Jutland
2009,85298.25,Central Jutland
2010,85658.25,Central Jutland
2011,86004.75,Central Jutland
2012,86431.25,Central Jutland
2013,86660.75,Central Jutland
2014,86844.25,Central Jutland
2015,87134.25,Central Jutland
2016,87990.25,Central Jutland
2017,88572.25,Central Jutland
2018,88800.5,Central Jutland
2019,89025.75,Central Jutland
2020,89262.5,Central Jutland
2021,89271.5,Central Jutland
2022,89641.0,Central Jutland
2023,89978.0,Central Jutland
2024,89939.75,Central Jutland
2008,46720.75,Capital Region
2009,47194.5,Capital Region
2010,47640.25,Capital Region
2011,48059.5,Capital Region
2012,48241.5,Capital Region
2013,48352.25,Capital Region
2014,48790.75,Capital Region
2015,49332.75,Capital Region
2016,49834.0,Capital Region
2017,50265.5,Capital Region
2018,50748.75,Capital Region
2019,51143.25,Capital Region
2020,51213.5,Capital Region
2021,52024.0,Capital Region
2022,53609.75,Capital Region
2023,54200.5,Capital Region
2024,54591.5,Capital Region
2008,67159.25,North Jutland
2009,67012.25,North Jutland
2010,66682.5,North Jutland
2011,66417.0,North Jutland
2012,66033.0,North Jutland
2013,65609.0,North Jutland
2014,65441.5,North Jutland
2015,65362.0,North Jutland
2016,65347.25,North Jutland
2017,65340.5,North Jutland
2018,65099.75,North Jutland
2019,64650.5,North Jutland
2020,64393.25,North Jutland
2021,64033.0,North Jutland
2022,63915.75,North Jutland
2023,63920.0,North Jutland
2024,63538.75,North Jutland
2008,69229.0,Zealand Region
2009,69512.5,Zealand Region
2010,69557.75,Zealand Region
2011,69502.25,Zealand Region
2012,69368.75,Zealand Region
2013,69208.0,Zealand Region
2014,68982.5,Zealand Region
2015,69440.75,Zealand Region
2016,70332.5,Zealand Region
2017,70971.5,Zealand Region
2018,71111.0,Zealand Region
2019,71346.25,Zealand Region
2020,71649.0,Zealand Region
2021,72275.0,Zealand Region
2022,73101.0,Zealand Region
2023,73701.5,Zealand Region
2024,74221.5,Zealand Region
2008,57119.5,Central Jutland
2009,57208.0,Central Jutland
2010,57141.0,Central Jutland
2011,57182.0,Central Jutland
2012,57218.0,Central Jutland
2013,57302.5,Central Jutland
2014,57424.25,Central Jutland
2015,57577.5,Central Jutland
2016,57865.0,Central Jutland
2017,58293.5,Central Jutland
