Municipality,Region,year,purchase_price_mean,purchase_price_median,sqm_price_mean,sqm_price_median,sqm_mean,no_rooms_mean,%_change_between_offer_and_purchase_mean,nom_interest_rate%_mean,dk_ann_infl_rate%_mean,yield_on_mortgage_credit_bonds%_mean,no_sales,income,population,affordability,sales_per_1000,urban_rural
Sorø,Zealand Region,2014,2244831.303703704,1650000.0,19207.383,11890.244140625,138.9926,4.518518518518518,-2.785185,0.0,0.56,3.06,135,351767.0,29276.75,18.314155551539738,4.611167564705782,Rural
Sorø,Zealand Region,2015,1987523.087248322,1600000.0,13203.308,12276.119140625,146.42953,4.543624161073826,-3.8187919,0.0,0.44999996,2.78,149,360557.6666666667,29388.5,27.308131164301148,5.0700103782091634,Rural
Sorø,Zealand Region,2016,1866075.46875,1645000.0,13802.403,11763.580078125,152.125,4.7,-2.43125,0.0,0.25,2.55,160,363349.3333333333,29586.0,26.325077838499087,5.4079632258500645,Rural
Sorø,Zealand Region,2017,2151002.1844660193,1595000.0,16059.381,12447.9169921875,141.05826,4.427184466019417,-2.3883495,0.0,1.15,2.26,103,374439.0,29626.75,23.315904890730224,3.4765878808846735,Rural
Sorø,Zealand Region,2018,2012333.284,1685000.0,14553.178,13024.32666015625,144.704,4.54,-1.616,0.0,0.81,2.12,250,381623.3333333333,29719.75,26.222680251236763,8.411914635890275,Rural
Sorø,Zealand Region,2019,2009344.564102564,1695000.0,14232.559,14271.97802734375,146.5,4.67948717948718,-1.6410257,0.0,0.76,1.35,234,396742.6666666667,29849.5,27.875708554355313,7.8393272919144374,Rural
Sorø,Zealand Region,2020,2278172.062730627,1895000.0,16579.865,14473.6845703125,142.99261,4.590405904059041,-1.6494465,0.0,0.42,1.1,271,409096.3333333333,29903.0,24.67428614969623,9.062635855934188,Rural
Sorø,Zealand Region,2021,2621815.704615385,2395000.0,19027.365,17244.8984375,142.59384,4.547692307692308,-0.8030769,0.0,1.85,1.47,325,430129.0,29960.0,22.605810105603165,10.847797062750335,Rural
Sorø,Zealand Region,2022,2537519.5570776258,2295000.0,18397.422,18398.7734375,139.00914,4.447488584474886,-2.6666667,0.124657534,7.7,3.73,219,431100.0,30095.0,23.43263094144386,7.276956305034059,Rural
Sorø,Zealand Region,2023,2722233.629464286,2300000.0,20975.152,18069.5986328125,137.20982,4.566964285714286,-2.486607,2.8720982,3.31,4.79,224,446236.0,30481.5,21.274506139454914,7.348719715237111,Rural
Sorø,Zealand Region,2024,2761051.342857143,2475000.0,21359.01,17857.142578125,142.86858,4.685714285714286,-2.5371428,3.5157142,1.13,4.34,175,458987.6666666667,30574.0,21.489182629095016,5.723817622816772,Rural
Stevns,Zealand Region,2008,1674970.275,1450000.0,15701.661,12318.8076171875,121.075,4.166666666666667,-3.4416666,4.0729165,3.4200003,6.52,120,304333.3333333333,21888.75,19.38223818061881,5.482268288504369,Rural
Stevns,Zealand Region,2009,1369237.989010989,1080000.0,12261.48,10045.4541015625,122.62637,4.164835164835165,-4.835165,1.5065935,1.3,5.5,91,300212.3333333333,21949.25,24.484184073483245,4.145927537387383,Rural
Stevns,Zealand Region,2010,1224728.6095890412,1100000.0,11396.066,9777.97119140625,125.20548,4.13013698630137,-4.4931507,0.7962329,2.31,4.53,146,324412.0,21923.75,28.46701660028996,6.65944466617253,Rural
Stevns,Zealand Region,2011,1413982.362745098,972500.0,12870.1045,9309.13720703125,120.14706,4.254901960784314,-3.990196,0.98284316,2.76,4.75,102,329119.0,21873.25,25.572364233716986,4.663230201273245,Rural
Stevns,Zealand Region,2012,1275294.6083333334,950000.0,11178.657,9040.0048828125,118.53333,4.241666666666666,-4.008333,0.475,2.4,3.66,120,335809.0,21815.0,30.04019176901125,5.50080220032088,Rural
Stevns,Zealand Region,2013,1175390.1610169492,937500.0,11872.043,8612.93310546875,117.169495,4.093220338983051,-3.542373,0.0,0.79,3.48,118,345352.3333333333,21845.25,29.089545357385695,5.401631933715567,Rural
Stevns,Zealand Region,2014,1353585.4832214764,1000000.0,10679.476,8333.3330078125,131.32886,4.369127516778524,-4.3892617,0.0,0.56,3.06,149,354557.3333333333,21897.0,33.19988109279269,6.804585102982144,Rural
Stevns,Zealand Region,2015,1439353.5917159764,1000000.0,11372.004,9504.76171875,130.0355,4.272189349112426,-3.52071,0.0,0.44999996,2.78,169,359155.0,22115.5,31.58238424819407,7.64169926069951,Rural
Stevns,Zealand Region,2016,1480103.2674418604,1132135.0,14534.487,9860.3447265625,117.808136,4.098837209302325,-3.4593024,0.0,0.25,2.55,172,364544.6666666667,22338.75,25.08135764727484,7.699625090929438,Rural
Stevns,Zealand Region,2017,1457623.376,1300000.0,12798.904,10777.02734375,129.664,4.352,-3.224,0.0,1.15,2.26,125,373384.6666666667,22605.0,29.17317503644583,5.529750055297501,Rural
Stevns,Zealand Region,2018,1715347.0703125,1342500.0,14429.316,11210.79150390625,128.23828,4.359375,-2.0039062,0.0,0.81,2.12,256,385229.3333333333,22824.5,26.697684999991218,11.21601787552849,Rural
Stevns,Zealand Region,2019,1619918.9569892474,1300000.0,13788.566,11436.4580078125,128.9534,4.293906810035843,-2.157706,0.0,0.76,1.35,279,398974.6666666667,22829.25,28.935181995478477,12.221163638752916,Rural
Stevns,Zealand Region,2020,1730565.053291536,1450000.0,15627.312,13392.857421875,125.82132,4.263322884012539,-2.7680252,0.0,0.42,1.1,319,410934.3333333333,22855.0,26.295906380658,13.957558521111354,Rural
Stevns,Zealand Region,2021,2073224.6510416667,1710000.0,16846.13,13328.55810546875,134.54167,4.356770833333333,-1.6875,0.0,1.85,1.4699999,384,428357.0,23229.0,25.42762046832121,16.531060312540358,Rural
Stevns,Zealand Region,2022,1965049.6108949415,1625000.0,17922.25,13888.888671875,124.29572,4.178988326848249,-3.1945524,0.11887159,7.7,3.73,257,433238.6666666667,23686.0,24.173229737709644,10.850291311323144,Rural
Stevns,Zealand Region,2023,1999691.0201612904,1500000.0,16938.525,13584.84814453125,123.93145,4.334677419354839,-4.387097,2.8580644,3.31,4.79,248,443824.3333333333,23660.5,26.202065016483623,10.48160436169988,Rural
Stevns,Zealand Region,2024,1990413.392857143,1636000.0,18042.52,14606.232421875,119.440475,3.952380952380953,-3.8690476,3.4869046,1.13,4.34,168,457897.0,23635.75,25.3787719232125,7.107876839110246,Rural
Struer,Central Jutland,2008,852885.5083333333,695000.0,7047.268,7067.982421875,128.39166,4.575,-1.3666667,4.04375,3.4200003,6.52,120,282849.6666666667,22691.5,40.13607353468985,5.288323821695348,Rural
Struer,Central Jutland,2009,1026190.325,840000.0,8151.8877,6977.612060546875,134.4375,4.55,-3.8375,2.1225,1.3,5.5,80,285165.6666666667,22586.5,34.98154993801824,3.5419387687335355,Rural
