"Income by income interval, family type, unit, region and time"

" "," "," "," ","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Total"
" ","Families, total"
" "," ","Average income for families in the group (DKK)"
" "," "," ","Næstved",208271,221922,230439,236070,243372,248516,252480,268806,279533,288219,297538,310161,320227,333684,348560,358262,365699,376792,390207,406054,427149,425988,424468,437125,443119,451466,456263,459808,466697,472010,483324,489756,505180,530247,551318,548285,575120,603531
" "," "," ","Odsherred",200769,210119,218971,226686,234528,239627,244049,259453,267579,276245,284811,293433,303614,315080,326023,337357,346506,355321,367412,382475,402683,396613,392917,403885,408299,415969,421710,427239,431731,435043,445050,450658,462244,482988,501875,503082,526083,550563
" "," "," ","Ringsted",222438,234479,243180,252086,257096,260780,262553,281205,297007,303705,313823,327209,344358,355981,369022,377428,387126,401888,417708,438591,457859,463585,454999,470099,474839,483224,488411,492688,499631,507056,520333,525236,540541,566776,588187,588749,612914,646886
" "," "," ","Slagelse",201088,212694,223290,233188,238629,243957,249449,262819,272220,277556,286625,297162,305763,318624,330991,342579,349145,359353,370573,386343,409537,409027,408303,418378,421690,427883,436430,436484,442965,449906,459419,468763,479797,497010,522345,529377,546835,578321
" "," "," ","Sorø",203651,217473,233199,234392,242392,248286,253453,271092,284632,296179,303031,317692,332051,348122,363992,372326,379416,393787,410720,428678,445732,443727,449700,459422,468165,478092,487288,492265,504189,505989,519485,525056,545986,563443,589644,590300,618816,653978
" "," "," ","Stevns",227036,240027,249376,258056,265445,272110,277700,293030,305842,316629,325836,338911,353167,370363,383095,392346,398884,409968,428299,443647,462706,473648,457808,471571,479268,485281,491253,496624,502354,508605,516201,531397,549477,568930,591287,596694,623911,655581
" "," "," ","Vordingborg",193725,204702,213287,219405,225611,231609,236783,252396,259967,267210,277752,289509,299712,315074,326095,334448,342713,350087,365189,380657,395042,392161,390298,405061,410111,418039,426318,430227,437130,437965,446495,456488,466481,493462,510491,521410,532922,563793
" "," "," ","Assens",201226,213668,223466,231052,240643,247976,250958,270702,281647,290095,302656,316341,323214,338732,350938,360953,371505,382229,395210,417153,433267,434342,433590,446725,452945,459860,464083,467163,476529,482531,495122,500384,518542,536151,557343,557582,583385,606733
" "," "," ","Faaborg-Midtfyn",201245,215024,223769,232381,242265,251071,253004,270841,281636,289447,300829,313002,319129,333291,344747,352598,361917,373368,383991,405666,420327,427276,421829,436587,441545,451138,454164,459879,468672,467437,482832,493283,505380,528374,545649,554228,577654,603748
" "," "," ","Kerteminde",213313,228086,241816,251528,260580,268152,269243,290194,300183,308396,319744,333471,341288,350887,363468,376057,379563,395204,410011,424859,446907,445769,443461,457263,463606,464323,471765,483973,492843,502307,509300,515930,532198,548551,580267,581243,612154,633796
" "," "," ","Langeland",174620,181071,189766,198769,204729,211143,215715,230818,240561,249038,254181,262947,266668,279937,287883,296274,300560,311412,321625,343108,355157,364140,359853,370573,371289,379958,384360,390782,391624,398264,404519,404671,425568,449100,450071,459718,481586,495321
" "," "," ","Middelfart",207917,220469,228861,239994,248563,256134,261762,279330,293386,303409,315028,331189,341152,357325,371038,382921,390294,399723,415843,436674,457007,468536,461344,480585,482950,497950,501914,508533,528839,530442,551744,558075,589298,615481,630992,644004,671626,700083
" "," "," ","Nordfyns",201337,213330,223596,233295,243419,249545,252670,270800,282752,290125,301960,315754,319739,336641,350625,360157,362579,377459,391703,414947,427561,430314,422791,442183,451545,457086,466459,468768,475080,478984,491976,503433,513935,532102,548921,558571,580264,603870
" "," "," ","Nyborg",199811,214199,224246,234370,242970,250574,251486,266101,277287,285322,294372,306029,309586,322803,334357,343576,355826,365582,376342,398455,410346,422280,423567,435027,439011,445575,450423,456300,460404,465647,473558,488390,500012,524291,544977,545861,576620,593076
" "," "," ","Odense",195528,205658,213151,218759,224755,230128,234095,248367,256134,263324,273009,285277,291573,302681,314472,323511,331393,339928,351465,366744,381931,387773,387915,401381,404157,405125,412271,416911,426930,429607,437128,445762,457119,476019,498882,501183,529892,558807
" "," "," ","Svendborg",191297,203167,212342,219216,227008,234064,238785,252254,260184,272050,279080,292965,298005,308554,321640,333462,341760,352018,362868,382669,401451,414844,408137,421141,424819,437003,441920,449786,457221,462862,470386,474975,500530,523385,544618,547323,573365,597564
" "," "," ","Ærø",159489,169760,180464,187641,196096,205417,207180,225499,235928,240155,249346,254935,261820,269192,285139,298508,304680,310046,316262,335255,351723,358277,352408,362474,364045,372159,371883,384781,386025,393915,398115,402238,410806,428997,445704,444345,458422,486596
" "," "," ","Billund",222232,237442,244952,252017,261725,273965,280899,304329,309433,318943,333620,344325,371676,360186,376124,385001,391359,401352,411776,430850,462656,462691,449801,475522,481172,496225,506051,507416,512187,517738,540237,544407,558011,576891,601680,611216,998711,686609
" "," "," ","Esbjerg",211354,221354,229440,236617,247399,255565,260183,276155,284108,291952,305471,316060,322584,338950,347143,357665,366558,377309,388117,408699,426806,437803,429526,445593,451895,460459,468414,474510,480379,486919,498823,506460,522696,540197,566606,569060,601868,633872
" "," "," ","Fanø",200134,216488,230903,235846,253140,259521,268174,282168,292818,303626,309319,327210,339714,349996,356695,374257,383960,391615,410318,424295,455206,459101,456390,475049,482522,481888,489857,495192,500975,502538,519943,524498,543317,556993,588675,573243,596807,619755
" "," "," ","Fredericia",214622,228573,235688,244622,250825,257441,262579,278542,292191,299360,306843,319380,328030,340212,351094,361486,369250,378543,393444,414855,432835,442210,436290,449254,449948,458736,463579,469596,481089,497660,497402,503155,519833,538833,560294,566891,592094,620442
" "," "," ","Haderslev",198407,211260,220451,227707,235228,244753,249867,264933,277819,287526,297440,307200,315057,331239,345213,352980,358341,371841,386959,409141,424967,427001,428361,437528,441276,445822,452080,456702,464734,469501,483531,490186,504299,524508,542591,546130,568649,588818
" "," "," ","Kolding",213143,224478,233450,243145,249725,257500,263975,281298,295027,303291,316701,329852,341382,351723,364471,372839,379749,394790,409456,431251,448873,460909,444739,462346,469634,479614,481649,489995,502994,509448,523445,533129,548667,582012,604406,599380,630231,654892
" "," "," ","Sønderborg",205330,214775,225135,231853,238425,249708,255095,271256,284191,293690,303628,316056,321586,336978,350513,353502,355984,374556,384253,402597,414974,426795,400049,437622,443060,455050,453770,464999,468256,474561,491124,497997,512366,528852,551596,553203,573349,598087
" "," "," ","Tønder",191860,202388,212285,220398,231212,239701,245408,264892,275594,285182,294927,309330,315359,328885,337712,342322,348308,360934,374330,396712,411790,405839,394996,409073,418205,420465,431013,434117,442912,448714,469480,470743,494132,504972,525044,542091,549169,575079
" "," "," ","Varde",206290,216640,229046,237563,247631,257951,262166,282266,295525,306083,318190,328080,337998,350293,363603,371704,380102,392013,409000,429236,451192,446997,441732,458303,464538,478531,495164,489337,494500,498229,514564,517310,536606,559031,584185,592282,611692,652462
" "," "," ","Vejen",201893,214382,224945,232372,241080,250838,256871,275361,287076,295371,306142,317339,327041,339421,355315,361244,368927,380570,399172,417862,435459,441798,429083,450362,454319,472914,481863,481754,494696,495456,516994,523665,537950,562409,587455,594071,923771,917903
" "," "," ","Vejle",206845,219982,230613,239660,247217,256892,258740,277934,291246,301019,314262,323921,340791,350504,363445,373499,383067,396338,412538,436431,455790,463473,454188,476018,477864,489204,494089,500395,519567,527240,543717,553755,574627,599839,630423,627986,661453,695325
" "," "," ","Aabenraa",204687,215315,225180,231919,242615,250674,255826,276441,288836,299389,307076,319390,329922,342451,351199,361732,366559,379691,392860,410953,428537,433856,419000,436926,441463,447564,451957,455850,464091,470392,486377,490558,504798,524635,547525,553830,571831,602649
" "," "," ","Favrskov",230365,242533,256188,261787,271502,279639,282919,306171,314526,330320,340907,352952,366050,381629,398030,406895,415718,427873,440776,466967,487604,497751,486982,509633,516465,529370,538671,547245,556732,567339,582128,593886,610053,642557,668907,671767,701128,733539
" "," "," ","Hedensted",213595,225559,235517,243684,256022,264506,269993,288739,303219,314131,329774,342675,353056,372592,386183,392959,402599,416057,439089,462418,479271,483289,474209,488933,492177,504519,512548,522331,537668,537718,551897,567086,581803,608502,632582,636858,659683,688459
" "," "," ","Horsens",201302,212866,228720,230006,240291,247270,250235,268504,284617,288641,299437,312396,323837,335673,348491,356440,366759,376082,390423,413365,432364,432432,429621,443261,448343,457521,464927,472148,479897,488992,505144,515799,532948,556885,576476,576794,598859,634405
" "," "," ","Norddjurs",195127,204743,217029,229775,234285,241794,244659,262025,272996,281615,290525,299929,307073,315285,328798,337360,346172,356530,369199,384946,402937,402891,395103,409864,415077,420437,423396,427321,432916,436692,447837,452562,468676,491118,506135,514887,532180,559425
" "," "," ","Odder",217677,230620,241316,248863,258756,267764,268755,284490,299728,309095,323300,341114,355193,369481,380412,389141,398642,413233,425792,446794,464561,470576,467589,483803,488512,499554,505020,510677,516123,527029,538107,545498,565132,594366,614425,613874,647593,668116
" "," "," ","Randers",199817,208691,217126,223470,231034,238515,242844,260470,271533,280726,291040,301398,309324,318825,333500,343821,352350,363439,374293,391620,411978,418127,411817,425074,430072,436505,440765,445473,455760,461732,471448,481844,497069,519799,535673,543324,564187,591722
