Municipality,Region,year,income
Furesø,Capital Region,2011,433623.6666666667
Gentofte,Capital Region,2011,563977.3333333334
Gladsaxe,Capital Region,2011,353780.3333333333
Glostrup,Capital Region,2011,329246.6666666667
Greve,Zealand Region,2011,379544.0
Gribskov,Capital Region,2011,350857.6666666667
Guldborgsund,Zealand Region,2011,281968.6666666667
Haderslev,Southern Denmark,2011,304951.3333333333
Halsnæs,Capital Region,2011,314927.3333333333
Hedensted,Central Jutland,2011,330878.3333333333
Helsingør,Capital Region,2011,354027.0
Herlev,Capital Region,2011,336797.3333333333
Herning,Central Jutland,2011,331932.3333333333
Hillerød,Capital Region,2011,376178.0
Hjørring,North Jutland,2011,307776.6666666667
Holbæk,Zealand Region,2011,325319.0
Holstebro,Central Jutland,2011,324355.3333333333
Horsens,Central Jutland,2011,318452.3333333333
Hvidovre,Capital Region,2011,325074.3333333333
Høje-Taastrup,Capital Region,2011,331940.6666666667
Hørsholm,Capital Region,2011,523674.0
Ikast-Brande,Central Jutland,2011,320685.3333333333
Ishøj,Capital Region,2011,307553.6666666667
Jammerbugt,North Jutland,2011,311240.3333333333
Kalundborg,Zealand Region,2011,312260.6666666667
Kerteminde,Southern Denmark,2011,320372.3333333333
Kolding,Southern Denmark,2011,328698.6666666667
Køge,Zealand Region,2011,340135.0
Langeland,Southern Denmark,2011,268127.0
Lejre,Zealand Region,2011,369624.0
Lemvig,Central Jutland,2011,321128.0
Lolland,Zealand Region,2011,272268.6666666667
Lyngby-Taarbæk,Capital Region,2011,432320.6666666667
Læsø,North Jutland,2011,284137.3333333333
Mariagerfjord,North Jutland,2011,309872.6666666667
Middelfart,Southern Denmark,2011,330062.6666666667
Morsø,North Jutland,2011,290523.0
Norddjurs,Central Jutland,2011,299330.6666666667
Nordfyns,Southern Denmark,2011,310139.0
Nyborg,Southern Denmark,2011,307683.0
Næstved,Zealand Region,2011,317032.3333333333
Odder,Central Jutland,2011,344991.3333333333
Odense,Southern Denmark,2011,303639.3333333333
Odsherred,Zealand Region,2011,293840.6666666667
Randers,Central Jutland,2011,304991.0
Rebild,North Jutland,2011,337005.3333333333
Ringkøbing-Skjern,Central Jutland,2011,323933.6666666667
Ringsted,Zealand Region,2011,329507.0
Roskilde,Zealand Region,2011,364021.3333333333
Rudersdal,Capital Region,2011,530544.6666666666
Rødovre,Capital Region,2011,322051.0
Samsø,Central Jutland,2011,282215.0
Silkeborg,Central Jutland,2011,330307.3333333333
Skanderborg,Central Jutland,2011,371144.0
Skive,Central Jutland,2011,306649.0
Slagelse,Zealand Region,2011,307157.3333333333
Solrød,Zealand Region,2011,402115.3333333333
Sorø,Zealand Region,2011,326210.3333333333
Stevns,Zealand Region,2011,329119.0
Struer,Central Jutland,2011,312552.3333333333
